epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,605.195,0.93413,0.79085,1.22083,0.87891,0.97507,0.97628,0.7236,0.85657,0.54411,1.22601,0.000533017,0.000533017,0.000533017
97,611.436,0.90756,0.75588,1.23307,0.94752,0.97922,0.98917,0.73936,0.91114,0.53539,1.21602,0.000523586,0.000523586,0.000523586
98,617.085,0.93013,0.8139,1.22157,0.85671,0.87413,0.93619,0.74474,0.87222,0.61243,1.19255,0.000514154,0.000514154,0.000514154
99,624.386,0.93934,0.77659,1.23762,0.92753,0.97001,0.99189,0.74517,0.88394,0.49165,1.21803,0.000504723,0.000504723,0.000504723
100,629.923,0.87828,0.76351,1.18981,0.9711,0.93016,0.99064,0.77212,0.80322,0.46965,1.19632,0.000495291,0.000495291,0.000495291
101,636.922,0.90307,0.72186,1.18983,0.96236,0.96926,0.99189,0.75988,0.88101,0.49375,1.26852,0.00048586,0.00048586,0.00048586
102,642.68,0.89737,0.76727,1.19941,0.98014,0.91323,0.99083,0.72409,0.94724,0.5637,1.24849,0.000476429,0.000476429,0.000476429
103,648.45,0.87286,0.73118,1.16467,0.96786,0.95209,0.98938,0.6865,1.01231,0.58659,1.27766,0.000466997,0.000466997,0.000466997
104,655.654,0.88047,0.75541,1.18172,0.96138,0.97619,0.98938,0.72125,0.939,0.51767,1.25078,0.000457566,0.000457566,0.000457566
105,660.926,0.86335,0.69976,1.18204,0.93683,0.92903,0.98553,0.75966,0.83109,0.54389,1.20193,0.000448134,0.000448134,0.000448134
106,668.407,0.84478,0.72758,1.18297,0.93152,0.925,0.97922,0.75553,0.81061,0.55592,1.20339,0.000438703,0.000438703,0.000438703
107,673.884,0.85922,0.73813,1.1933,0.90836,0.94266,0.98667,0.74645,0.90131,0.55136,1.25887,0.000429272,0.000429272,0.000429272
108,679.291,0.83672,0.69047,1.15559,0.94742,0.86052,0.98167,0.74047,0.87231,0.5602,1.23871,0.00041984,0.00041984,0.00041984
